JobId;Nodes;NodeList;SubmitTime;StartTime;EndTime;WaitTime;RunTime;ResponseTime;Slowdown;Backfilled
2;54;n[1-54];100;100;7923;0;7823;7823;1.000000;no
3;8;n[55-62];192;192;193;0;1;1;1.000000;no
4;8;n[55-62];284;284;325;0;41;41;1.000000;no
5;4;n[55-58];377;377;745;0;368;368;1.000000;no
6;4;n[59-62];469;469;7554;0;7085;7085;1.000000;no
7;64;n[63-126];562;562;73630;0;73068;73068;1.000000;no
8;4;n[127-130];654;654;3053;0;2399;2399;1.000000;no
9;4;n[55-58];747;747;33341;0;32594;32594;1.000000;no
10;32;n[131-162];840;840;15502;0;14662;14662;1.000000;no
11;32;n[163-194];932;932;961;0;29;29;1.000000;no
12;1;n163;1025;1025;1361;0;336;336;1.000000;no
13;4;n[164-167];1118;1118;1119;0;1;1;1.000000;no
14;4;n[164-167];1211;1211;1234;0;23;23;1.000000;no
15;1;n164;1304;1304;3103;0;1799;1799;1.000000;no
16;53;n[165-217];1397;1397;7715;0;6318;6318;1.000000;no
17;8;n[218-225];1490;1490;1701;0;211;211;1.000000;no
18;1;n163;1583;1583;5679;0;4096;4096;1.000000;no
19;8;n[226-233];1676;1676;15768;0;14092;14092;1.000000;no
20;4;n[218-221];1769;1769;1856;0;87;87;1.000000;no
21;128;n[234-361];1862;1862;2055;0;193;193;1.000000;no
22;8;n[218-225];1955;1955;2473;0;518;518;1.000000;no
23;1;n362;2047;2047;2057;0;10;10;1.000000;no
24;4;n[234-237];2140;2140;177538;0;175398;175398;1.000000;no
25;1;n238;2232;2232;2466;0;234;234;1.000000;no
26;8;n[239-246];2325;2325;2333;0;8;8;1.000000;no
27;1;n239;2417;2417;2755;0;338;338;1.000000;no
28;32;n[240-271];2509;2509;2538;0;29;29;1.000000;no
29;1;n238;2601;2601;60883;0;58282;58282;1.000000;no
30;8;n[218-225];2693;2693;9135;0;6442;6442;1.000000;no
31;8;n[239-246];2784;2784;2821;0;37;37;1.000000;no
32;32;n[239-270];2876;2876;8590;0;5714;5714;1.000000;no
33;36;n[271-306];2967;2967;20492;0;17525;17525;1.000000;no
34;128;n[307-434];3058;3058;15155;0;12097;12097;1.000000;no
35;1;n164;3148;3148;3174;0;26;26;1.000000;no
36;8;n[435-442];3239;3239;3241;0;2;2;1.000000;no
37;32;n[435-466];3329;3329;3473;0;144;144;1.000000;no
38;1;n164;3419;3419;3465;0;46;46;1.000000;no
39;64;n[435-498];3509;3509;3777;0;268;268;1.000000;no
40;8;n[499-506];3599;3599;7810;0;4211;4211;1.000000;no
41;1;n164;3688;3688;3851;0;163;163;1.000000;no
42;64;n[435-498];3777;3777;3960;0;183;183;1.000000;no
43;2;n[127-128];3866;3866;81843;0;77977;77977;1.000000;no
44;16;n[507-522];3954;3954;4147;0;193;193;1.000000;no
45;10;n[435-444];4042;4042;38352;0;34310;34310;1.000000;no
46;45;n[445-489];4130;4130;4148;0;18;18;1.000000;no
47;1;n164;4218;4218;7501;0;3283;3283;1.000000;no
48;2;n[129-130];4305;4305;18436;0;14131;14131;1.000000;no
49;8;n[445-452];4392;4392;5540;0;1148;1148;1.000000;no
50;128;n[507-634];4478;4478;37281;0;32803;32803;1.000000;no
51;64;n[635-698];4565;4565;4568;0;3;3;1.000000;no
52;16;n[453-468];4651;4651;4783;0;132;132;1.000000;no
53;32;n[635-666];4736;4736;4742;0;6;6;1.000000;no
54;4;n[453-456];4821;4821;86277;0;81456;81456;1.000000;no
55;1;n457;4906;4906;5076;0;170;170;1.000000;no
56;2;n[458-459];4991;4991;6010;0;1019;1019;1.000000;no
57;58;n[635-692];5075;5075;5169;0;94;94;1.000000;no
58;2;n[460-461];5159;5159;5753;0;594;594;1.000000;no
59;16;n[462-477];5243;5243;5452;0;209;209;1.000000;no
60;8;n[478-485];5326;5326;12393;0;7067;7067;1.000000;no
61;8;n[486-493];5409;5409;5909;0;500;500;1.000000;no
62;14;n[462-475];5491;5491;5501;0;10;10;1.000000;no
63;2;n[494-495];5573;5573;46962;0;41389;41389;1.000000;no
64;14;n[462-475];5655;5655;6532;0;877;877;1.000000;no
65;4;n[445-448];5737;5737;5792;0;55;55;1.000000;no
66;8;n[445-452];5818;5818;13129;0;7311;7311;1.000000;no
67;64;n[635-698];5898;5898;9107;0;3209;3209;1.000000;no
68;4;n[486-489];5979;5979;13295;0;7316;7316;1.000000;no
69;16;n[699-714];6059;6059;21588;0;15529;15529;1.000000;no
70;4;n[490-493];6139;6139;16731;0;10592;10592;1.000000;no
71;8;n[715-722];6218;6218;6219;0;1;1;1.000000;no
72;32;n[715-746];6297;6297;11136;0;4839;4839;1.000000;no
73;64;n[747-810];6376;6376;6843;0;467;467;1.000000;no
74;64;n[811-874];6454;6454;8937;0;2483;2483;1.000000;no
75;2;n[496-497];6532;6532;18265;0;11733;11733;1.000000;no
76;32;n[875-906];6610;6610;6619;0;9;9;1.000000;no
77;32;n[875-906];6687;6687;7626;0;939;939;1.000000;no
78;1;n163;6764;6764;6926;0;162;162;1.000000;no
79;1;n498;6841;6841;16644;0;9803;9803;1.000000;no
80;1;n457;6917;6917;7171;0;254;254;1.000000;no
81;4;n[458-461];6993;6993;7391;0;398;398;1.000000;no
82;1;n163;7069;7069;7070;0;1;1;1.000000;no
83;1;n163;7145;7145;7148;0;3;3;1.000000;no
84;1;n163;7220;7220;7351;0;131;131;1.000000;no
85;1;n457;7295;7295;7305;0;10;10;1.000000;no
86;2;n[462-463];7369;7369;7915;0;546;546;1.000000;no
87;32;n[747-778];7443;7443;8833;0;1390;1390;1.000000;no
88;8;n[464-471];7517;7517;7704;0;187;187;1.000000;no
89;8;n[779-786];7591;7591;13259;0;5668;5668;1.000000;no
90;11;n[787-797];7664;7664;10072;0;2408;2408;1.000000;no
91;16;n[163-178];7737;7737;27095;0;19358;19358;1.000000;no
92;64;n[875-938];7810;7810;32198;0;24388;24388;1.000000;no
93;32;n[179-210];7882;7882;7886;0;4;4;1.000000;no
